audio1,audio2,true_label,predicted_label,similarity
D21_887.wav,D13_833.wav,0,0,0.2541
D21_929.wav,D21_853.wav,1,1,0.7864
D6_931.wav,D4_965.wav,0,0,0.2246
D4_994.wav,D8_951.wav,0,0,0.0731
D4_846.wav,D21_978.wav,0,0,0.3581
D4_760.wav,D4_865.wav,1,1,0.7363
D13_874.wav,D13_804.wav,1,1,0.7552
D32_971.wav,D32_999.wav,1,1,0.8641
D21_829.wav,D13_926.wav,0,0,0.2920
D4_896.wav,D6_829.wav,0,0,0.2911
D6_858.wav,D7_891.wav,0,0,0.1966
D13_807.wav,D11_815.wav,0,0,0.1771
D32_806.wav,D32_835.wav,1,1,0.7730
D12_849.wav,D12_750.wav,1,1,0.5553
D13_919.wav,D13_844.wav,1,1,0.8304
D7_952.wav,D6_869.wav,0,0,0.2116
D13_767.wav,D7_951.wav,0,0,0.0336
D6_862.wav,D6_758.wav,1,1,0.8692
D31_951.wav,D31_862.wav,1,1,0.7495
D4_768.wav,D31_774.wav,0,0,0.2538
D4_827.wav,D4_781.wav,1,1,0.7400
D31_869.wav,D31_980.wav,1,1,0.7592
D31_777.wav,D31_922.wav,1,1,0.7120
D11_786.wav,D11_814.wav,1,1,0.8123
D6_784.wav,D6_968.wav,1,1,0.8404
D6_849.wav,D13_845.wav,0,0,0.1645
D8_988.wav,D32_999.wav,0,0,0.1144
D31_753.wav,D31_934.wav,1,1,0.6119
D8_943.wav,D8_799.wav,1,1,0.5972
D32_861.wav,D13_911.wav,0,0,0.1973
D6_807.wav,D6_781.wav,1,1,0.8453
D7_897.wav,D7_934.wav,1,1,0.7419
D12_912.wav,D4_811.wav,0,0,0.0314
D8_846.wav,D8_770.wav,1,1,0.7525
D11_877.wav,D11_773.wav,1,1,0.7509
D8_970.wav,D32_931.wav,0,0,0.0713
D11_936.wav,D11_990.wav,1,1,0.7360
D32_916.wav,D32_974.wav,1,1,0.8229
D13_836.wav,D13_944.wav,1,1,0.8241
D4_971.wav,D4_968.wav,1,1,0.8010
D8_772.wav,D8_852.wav,1,1,0.6852
D11_891.wav,D11_793.wav,1,1,0.7412
D6_841.wav,D13_791.wav,0,0,-0.0766
D12_982.wav,D12_997.wav,1,1,0.7708
D21_801.wav,D32_902.wav,0,0,0.1007
D31_861.wav,D21_814.wav,0,0,0.0582
D13_869.wav,D6_830.wav,0,0,0.0966
D21_881.wav,D32_771.wav,0,0,0.0466
D4_812.wav,D11_761.wav,0,0,0.2441
D4_904.wav,D4_871.wav,1,1,0.8425
D21_845.wav,D6_998.wav,0,0,0.2251
D11_887.wav,D8_891.wav,0,0,0.1884
D12_766.wav,D11_801.wav,0,0,0.3178
D8_877.wav,D12_868.wav,0,0,0.1804
D8_847.wav,D8_951.wav,1,1,0.7117
D4_958.wav,D4_914.wav,1,1,0.8178
D11_929.wav,D8_837.wav,0,0,0.2487
D6_773.wav,D13_981.wav,0,0,0.1094
D21_945.wav,D21_943.wav,1,1,0.8511
D12_978.wav,D12_975.wav,1,1,0.8240
D21_963.wav,D4_776.wav,0,0,0.2815
D7_944.wav,D6_865.wav,0,0,0.1660
D13_844.wav,D13_871.wav,1,1,0.8132
D13_765.wav,D11_782.wav,0,0,0.3090
D12_759.wav,D12_777.wav,1,1,0.7486
D8_977.wav,D8_754.wav,1,1,0.6054
D11_923.wav,D11_918.wav,1,1,0.7484
D8_981.wav,D8_879.wav,1,1,0.7136
D4_850.wav,D11_945.wav,0,0,0.0692
D11_957.wav,D32_859.wav,0,0,0.1366
D12_973.wav,D7_807.wav,0,0,0.0022
D8_909.wav,D4_796.wav,0,0,0.2837
D31_804.wav,D31_914.wav,1,1,0.6768
D31_851.wav,D31_916.wav,1,1,0.7917
D12_961.wav,D12_995.wav,1,1,0.7419
D6_761.wav,D8_825.wav,0,0,0.2396
D32_886.wav,D12_973.wav,0,0,0.0637
D12_824.wav,D4_866.wav,0,0,0.0254
D21_855.wav,D4_761.wav,0,0,0.1314
D32_923.wav,D13_937.wav,0,0,0.0909
D8_925.wav,D8_878.wav,1,1,0.8265
D13_864.wav,D13_952.wav,1,1,0.7440
D12_979.wav,D12_897.wav,1,1,0.7981
D31_990.wav,D31_845.wav,1,1,0.8133
D6_823.wav,D6_927.wav,1,1,0.8782
D13_866.wav,D6_750.wav,0,0,0.0960
D32_948.wav,D32_839.wav,1,1,0.8187
D8_834.wav,D8_827.wav,1,1,0.8054
D8_917.wav,D8_970.wav,1,1,0.7039
D8_862.wav,D8_809.wav,1,1,0.7144
D8_925.wav,D31_838.wav,0,0,0.0436
D21_913.wav,D13_880.wav,0,0,0.1926
D21_902.wav,D21_952.wav,1,1,0.7874
D6_971.wav,D11_913.wav,0,0,0.1755
D13_806.wav,D13_795.wav,1,1,0.8039
D12_868.wav,D21_871.wav,0,0,0.1268
D12_896.wav,D12_775.wav,1,1,0.6762
D8_759.wav,D4_851.wav,0,0,0.2078
